Date,Time,Open,High,Low,Close,Volume
2018-05-25,05:00:00,7594.53,7625.0,7574.48,7619.65,1838
2018-05-25,06:00:00,7618.47,7649.67,7480.02,7504.23,2589
2018-05-25,07:00:00,7502.62,7521.6,7400.0,7425.28,4902
2018-05-25,08:00:00,7425.28,7514.55,6299.78,7470.0,1112
2018-05-25,09:00:00,7463.04,7471.0,7404.71,7433.72,1195
2018-05-25,10:00:00,7434.61,7482.31,7356.46,7386.22,1094
2018-05-25,11:00:00,7375.66,7509.28,7352.34,7485.84,1053
2018-05-25,12:00:00,7477.62,7561.86,7477.62,7517.26,1037
2018-05-25,13:00:00,7516.42,7518.85,7490.88,7493.11,827
2018-05-25,14:00:00,7493.71,7527.85,7486.66,7487.93,715
2018-05-25,15:00:00,7487.14,7525.89,7438.87,7507.03,867
2018-05-25,16:00:00,7506.25,7507.03,7464.94,7490.31,697
2018-05-25,17:00:00,7471.32,7490.31,7434.67,7444.24,645
2018-05-25,18:00:00,7438.73,7462.35,7402.82,7446.55,656
2018-05-25,19:00:00,7446.55,7450.34,7378.7,7447.27,739
2018-05-25,20:00:00,7447.22,7474.35,7410.09,7471.63,603
2018-05-25,21:00:00,7471.63,7471.63,7437.66,7459.68,518
2018-05-25,22:00:00,7459.68,7463.15,7361.3,7401.88,637
2018-05-25,23:00:00,7405.15,7510.82,7385.7,7479.34,530
2018-05-26,00:00:00,7478.58,7484.51,7443.9,7459.13,475
2018-05-26,01:00:00,7459.13,7473.77,7439.86,7458.55,504
2018-05-26,02:00:00,7458.55,7465.47,7417.9,7428.2,426
2018-05-26,03:00:00,7429.53,7456.08,7423.79,7454.44,442
2018-05-26,04:00:00,7455.86,7455.86,7370.74,7393.09,547
2018-05-26,05:00:00,7393.09,7444.29,7377.76,7444.29,466
2018-05-26,06:00:00,7444.3,7444.3,7413.97,7424.12,441
2018-05-26,07:00:00,7424.12,7597.39,7422.92,7558.04,550
2018-05-26,08:00:00,7567.65,7571.57,7538.7,7552.17,372
2018-05-26,09:00:00,7557.18,7583.51,7548.0,7564.69,351
2018-05-26,10:00:00,7564.69,7572.63,7531.39,7567.93,272
2018-05-26,11:00:00,7567.93,7576.41,7556.54,7556.57,273
2018-05-26,12:00:00,7554.64,7571.14,7490.48,7546.51,358
2018-05-26,13:00:00,7554.89,7580.0,7513.59,7556.31,253
2018-05-26,14:00:00,7556.31,7567.13,7540.15,7548.26,206
2018-05-26,15:00:00,7548.26,7565.71,7532.67,7548.69,234
