Date,Time,Open,High,Low,Close,Volume
2018-05-28,00:00:00,12.49,12.65,11.28,11.4788,3494258
2018-05-29,00:00:00,11.4853,12.465,10.7,12.1112,6709192
2018-05-30,00:00:00,12.1113,12.82,11.6206,11.8968,6514864
2018-05-31,00:00:00,11.8712,12.74,11.8116,12.2353,6540020
2018-06-01,00:00:00,12.2351,12.3889,11.8354,12.2048,5946136
2018-06-02,00:00:00,12.2143,15.6774,12.1039,14.6976,9812623
2018-06-03,00:00:00,14.6976,15.451,14.2266,14.5304,5800716
2018-06-04,00:00:00,14.5304,14.8424,13.23,13.462,4878116
2018-06-05,00:00:00,13.4619,14.3,12.71,14.1996,6430602
2018-06-06,00:00:00,14.1978,14.3,13.3677,13.9072,5958713
2018-06-07,00:00:00,13.91,14.7409,13.6,14.7207,6061410
2018-06-08,00:00:00,14.7205,14.9,13.55,13.9637,2727726
2018-06-09,00:00:00,13.9794,15.0015,13.92,14.15,2592900
2018-06-10,00:00:00,14.15,14.1642,10.98,11.7313,10540465
2018-06-11,00:00:00,11.7355,11.93,10.61,11.7719,8878723
2018-06-12,00:00:00,11.771,11.78,9.68,10.0909,9168694
2018-06-13,00:00:00,10.0909,10.47,9.12,10.037,10351432
2018-06-14,00:00:00,10.0312,11.7899,9.462,11.2534,10052349
2018-06-15,00:00:00,11.2534,11.45,10.5107,10.6547,5408054
2018-06-16,00:00:00,10.6504,10.8667,10.16,10.5254,6053921
2018-06-17,00:00:00,10.5254,10.75,10.25,10.3388,1627761
2018-06-18,00:00:00,10.3388,10.899,10.0963,10.6791,10669784
2018-06-19,00:00:00,10.6738,10.9693,10.38,10.658,7961229
2018-06-20,00:00:00,10.6507,10.7495,10.16,10.412,8798849
2018-06-21,00:00:00,10.4077,10.83,10.2032,10.4099,8923799
2018-06-22,00:00:00,10.4031,10.432,8.246,8.5198,11547386
2018-06-23,00:00:00,8.5133,8.747,8.068,8.4464,8165524
2018-06-24,00:00:00,8.4464,8.5153,6.92,8.06,8983446
2018-06-25,00:00:00,8.0526,8.7,7.668,8.3358,9612531
2018-06-26,00:00:00,8.3357,8.3999,7.5329,7.576,5966985
2018-06-27,00:00:00,7.5518,8.26,7.3878,7.9942,9334245
2018-06-28,00:00:00,7.995,8.087,7.2984,7.3675,8395130
2018-06-29,00:00:00,7.364,7.95,7.0804,7.7438,7661045
2018-06-30,00:00:00,7.7402,8.298,7.7346,8.127,9584422
2018-07-01,00:00:00,8.1298,8.2452,7.761,8.1164,9547404
2018-07-02,00:00:00,8.1136,9.1744,7.88,8.9691,8241723
2018-07-03,00:00:00,8.9665,9.4363,8.6051,8.8336,11219476
2018-07-04,00:00:00,8.8336,9.3955,8.7092,8.9064,6569646
2018-07-05,00:00:00,8.9097,9.2219,8.6583,8.8328,8412873
2018-07-06,00:00:00,8.833,8.8735,8.288,8.6303,4527731
2018-07-07,00:00:00,8.6449,8.8931,8.3517,8.8336,2062917
2018-07-08,00:00:00,8.8332,8.9801,8.6501,8.6827,9139546
2018-07-09,00:00:00,8.6826,8.7165,7.5,7.7092,8872131
2018-07-10,00:00:00,7.7045,7.824,7.0503,7.1196,6524620
2018-07-11,00:00:00,7.1199,7.3993,6.72,7.1616,12859537
2018-07-12,00:00:00,7.1668,7.1704,6.54,6.9207,14581793
2018-07-13,00:00:00,6.9208,7.2245,6.6881,6.8921,14260068
2018-07-14,00:00:00,6.8982,7.088,6.764,6.9237,12584240
2018-07-15,00:00:00,6.9268,7.5346,6.852,7.4075,13645106
2018-07-16,00:00:00,7.4026,8.1819,7.2202,8.0899,15310182
2018-07-17,00:00:00,8.0845,8.9686,7.83,8.7826,15072014
2018-07-18,00:00:00,8.783,9.37,8.4287,8.6018,15368313
2018-07-19,00:00:00,8.6015,8.7592,8.1528,8.4175,12014171
2018-07-20,00:00:00,8.422,8.6069,7.711,7.8583,11299468
2018-07-21,00:00:00,7.8583,8.2419,7.572,8.0,8592901
2018-07-22,00:00:00,7.9939,8.27,7.71,7.8488,7179671
2018-07-23,00:00:00,7.8461,8.4144,7.7811,7.9353,5692633
2018-07-24,00:00:00,7.9336,8.6967,7.7165,8.5871,11998912
2018-07-25,00:00:00,8.5809,9.1407,8.3385,8.532,14376822
2018-07-26,00:00:00,8.5307,8.86,8.19,8.3,13521194
2018-07-27,00:00:00,8.298,8.5352,8.0,8.4321,14149475
2018-07-28,00:00:00,8.4296,8.4535,8.12,8.3523,12344279
2018-07-29,00:00:00,8.3501,8.477,8.13,8.3148,11644873
2018-07-30,00:00:00,8.3171,8.35,7.4,7.7421,11922994
2018-07-31,00:00:00,7.7303,7.7464,7.1,7.3317,10844162
2018-08-01,00:00:00,7.3317,7.3937,6.88,7.2176,9579047
2018-08-02,00:00:00,7.2146,7.3207,6.8707,7.0072,8516504
2018-08-03,00:00:00,7.0071,7.2539,6.85,7.1784,7840361
2018-08-04,00:00:00,7.1785,7.3194,6.8788,6.9779,2585204
2018-08-05,00:00:00,6.9779,7.0889,6.9029,7.0373,9206157
2018-08-06,00:00:00,7.0339,7.1602,6.9273,7.0608,8405635
2018-08-07,00:00:00,7.0576,7.19,6.501,6.5689,9777297
2018-08-08,00:00:00,6.569,6.569,5.35,5.5788,13221551
2018-08-09,00:00:00,5.5788,5.9416,5.3988,5.7581,12850965
2018-08-10,00:00:00,5.7548,5.8131,5.5811,5.7347,3176405
