Date,Time,Open,High,Low,Close,Volume
2018-05-28,05:00:00,12.49,12.65,12.1,12.31,42630
2018-05-28,05:30:00,12.3139,12.3348,11.3,11.8175,113263
2018-05-28,06:00:00,11.8916,12.1012,11.71,11.9209,54393
2018-05-28,06:30:00,11.9017,12.1,11.8469,11.9997,33693
2018-05-28,07:00:00,12.01,12.32,11.9997,12.025,29466
2018-05-28,07:30:00,12.022,12.03,11.8783,11.9368,77168
2018-05-28,08:00:00,11.9393,12.05,11.8685,11.9399,61482
2018-05-28,08:30:00,11.9191,11.9375,11.710999999999999,11.8614,86088
2018-05-28,09:00:00,11.8796,11.9996,11.7842,11.9323,64898
2018-05-28,09:30:00,11.939,11.9476,11.8,11.8261,80351
2018-05-28,10:00:00,11.825999999999999,11.9702,11.8059,11.9582,76186
2018-05-28,10:30:00,11.9561,11.9561,11.9,11.9224,126823
2018-05-28,11:00:00,11.91,11.9485,11.8404,11.8521,137471
2018-05-28,11:30:00,11.852,11.8649,11.7,11.8004,103090
2018-05-28,12:00:00,11.8052,12.1,11.52,11.9999,129293
2018-05-28,12:30:00,11.9999,12.33,11.8643,12.2413,127053
2018-05-28,13:00:00,12.2333,12.2968,12.1547,12.1999,76639
2018-05-28,13:30:00,12.1976,12.28,12.1281,12.22,85580
2018-05-28,14:00:00,12.2358,12.2796,12.151,12.2784,99057
2018-05-28,14:30:00,12.2785,12.3,12.0228,12.0737,81981
2018-05-28,15:00:00,12.0938,12.1887,12.0938,12.1376,97176
2018-05-28,15:30:00,12.1372,12.1721,11.93,12.0,82820
2018-05-28,16:00:00,11.9991,12.1365,11.9459,12.0858,64987
2018-05-28,16:30:00,12.0999,12.1099,11.9209,12.0149,55785
2018-05-28,17:00:00,12.0148,12.045,11.9,12.0386,104368
2018-05-28,17:30:00,12.0386,12.075,11.9749,12.075,110971
2018-05-28,18:00:00,12.0751,12.0898,11.9764,12.0563,95545
2018-05-28,18:30:00,12.0658,12.0893,11.934000000000001,12.0054,87349
2018-05-28,19:00:00,12.004000000000001,12.06,11.9909,12.0312,111134
2018-05-28,19:30:00,12.0389,12.195,12.0101,12.1259,79416
2018-05-28,20:00:00,12.11,12.22,12.0704,12.1442,41483
2018-05-28,20:30:00,12.1441,12.1549,12.0219,12.0999,64579
2018-05-28,21:00:00,12.0999,12.1,11.82,11.8541,126558
2018-05-28,21:30:00,11.8541,11.9647,11.7,11.773,132315
2018-05-28,22:00:00,11.7728,11.7809,11.33,11.3434,161305
2018-05-28,22:30:00,11.33,11.75,11.28,11.7212,150019
2018-05-28,23:00:00,11.7212,11.73,11.5021,11.5165,110664
2018-05-28,23:30:00,11.5022,11.5778,11.4501,11.4788,131158
2018-05-29,00:00:00,11.4853,11.65,11.4793,11.5884,107885
2018-05-29,00:30:00,11.5675,11.6931,11.55,11.622,90445
2018-05-29,01:00:00,11.622,11.69,11.4159,11.4545,147804
2018-05-29,01:30:00,11.4725,11.6768,11.32,11.6116,153020
2018-05-29,02:00:00,11.6091,11.6116,11.4437,11.4753,91455
2018-05-29,02:30:00,11.4687,11.61,11.41,11.5614,111970
2018-05-29,03:00:00,11.5615,11.61,11.4499,11.529000000000002,95078
2018-05-29,03:30:00,11.5415,11.6748,11.5344,11.6074,94547
2018-05-29,04:00:00,11.6074,11.6715,11.558,11.6464,99405
2018-05-29,04:30:00,11.6396,11.6574,11.5262,11.5509,84006
2018-05-29,05:00:00,11.5484,11.5598,10.85,10.8813,262183
2018-05-29,05:30:00,10.8703,11.0687,10.7,10.8618,315224
2018-05-29,06:00:00,10.8618,11.0687,10.7,10.7367,184813
2018-05-29,06:30:00,10.7367,10.940999999999999,10.7,10.8243,131008
2018-05-29,07:00:00,10.8219,11.28,10.8054,11.1294,145720
2018-05-29,07:30:00,11.1294,11.2,10.9507,11.1525,120034
2018-05-29,08:00:00,11.1525,11.395999999999999,11.0574,11.1378,194147
2018-05-29,08:30:00,11.1375,11.259,11.1,11.1611,100494
2018-05-29,09:00:00,11.17,11.1793,10.84,10.9633,160902
2018-05-29,09:30:00,10.9633,11.1499,10.9209,11.1112,82344
2018-05-29,10:00:00,11.1201,11.25,11.02,11.1711,117433
2018-05-29,10:30:00,11.1887,11.46,11.1137,11.4492,100436
2018-05-29,11:00:00,11.449000000000002,11.93,11.4301,11.8012,232676
2018-05-29,11:30:00,11.8011,12.0617,11.7201,11.8201,302329
2018-05-29,12:00:00,11.8207,11.99,11.6906,11.75,172925
2018-05-29,12:30:00,11.7501,11.86,11.700999999999999,11.7881,133676
2018-05-29,13:00:00,11.7882,12.1,11.7882,12.0171,167003
2018-05-29,13:30:00,12.0171,12.0222,11.8274,11.9075,146754
2018-05-29,14:00:00,11.8993,11.9679,11.71,11.8025,146282
2018-05-29,14:30:00,11.8151,11.8747,11.7533,11.8097,124582
2018-05-29,15:00:00,11.8208,11.8516,11.7041,11.7156,109227
2018-05-29,15:30:00,11.72,11.8499,11.7172,11.8247,124189
2018-05-29,16:00:00,11.8345,11.9851,11.78,11.8342,119528
2018-05-29,16:30:00,11.8213,11.9498,11.8152,11.8822,96817
2018-05-29,17:00:00,11.8908,11.9156,11.8009,11.8703,85959
2018-05-29,17:30:00,11.8697,12.2132,11.8697,12.1664,170417
2018-05-29,18:00:00,12.1661,12.4514,12.13,12.4,227611
2018-05-29,18:30:00,12.4,12.465,12.2306,12.2306,221519
2018-05-29,19:00:00,12.2421,12.383,12.138,12.2328,163621
2018-05-29,19:30:00,12.2328,12.2744,12.1721,12.19,79232
2018-05-29,20:00:00,12.2067,12.36,12.1087,12.2593,107944
2018-05-29,20:30:00,12.2593,12.35,12.0826,12.1871,123571
2018-05-29,21:00:00,12.1871,12.2499,12.09,12.1176,112373
2018-05-29,21:30:00,12.1068,12.2478,12.1056,12.2088,108592
2018-05-29,22:00:00,12.2088,12.2518,11.9351,12.0789,136346
2018-05-29,22:30:00,12.0706,12.09,11.8327,11.9101,131830
2018-05-29,23:00:00,11.9178,12.1101,11.8306,12.1067,104281
2018-05-29,23:30:00,12.0871,12.1501,11.9528,12.1112,69533
2018-05-30,00:00:00,12.1113,12.1499,11.9918,12.0577,74149
2018-05-30,00:30:00,12.0577,12.2499,12.0502,12.1662,136097
2018-05-30,01:00:00,12.1785,12.56,12.1785,12.4199,179184
2018-05-30,01:30:00,12.4195,12.5675,12.3268,12.33,119467
2018-05-30,02:00:00,12.33,12.4883,12.2756,12.3701,146343
2018-05-30,02:30:00,12.3816,12.4876,12.25,12.3121,113297
2018-05-30,03:00:00,12.3062,12.324000000000002,12.0802,12.1358,133924
2018-05-30,03:30:00,12.1399,12.267999999999999,12.1109,12.207,137246
2018-05-30,04:00:00,12.207,12.3,12.18,12.2064,94996
2018-05-30,04:30:00,12.2064,12.3509,12.1664,12.2993,102824
2018-05-30,05:00:00,12.2982,12.3509,12.2436,12.2584,106932
2018-05-30,05:30:00,12.2823,12.2823,12.2146,12.2484,110960
2018-05-30,06:00:00,12.2484,12.82,12.2268,12.32,150402
2018-05-30,06:30:00,12.32,12.3202,11.9804,12.1485,141897
2018-05-30,07:00:00,12.1483,12.22,12.05,12.1635,95754
2018-05-30,07:30:00,12.1633,12.2324,12.1403,12.2116,112939
2018-05-30,08:00:00,12.2117,12.2615,12.1542,12.1542,128820
2018-05-30,08:30:00,12.1542,12.1958,12.0551,12.1499,106025
2018-05-30,09:00:00,12.1499,12.27,12.0791,12.1899,126153
2018-05-30,09:30:00,12.1899,12.3389,12.1484,12.2423,111126
2018-05-30,10:00:00,12.2696,12.3956,12.2,12.3534,76736
2018-05-30,10:30:00,12.3795,12.3885,12.2526,12.325999999999999,129894
2018-05-30,11:00:00,12.3286,12.46,12.29,12.4296,114888
2018-05-30,11:30:00,12.4033,12.45,12.3,12.3268,138289
2018-05-30,12:00:00,12.319,12.3559,12.2256,12.3276,133264
2018-05-30,12:30:00,12.3173,12.3559,12.2565,12.2649,115637
2018-05-30,13:00:00,12.2637,12.3192,12.1064,12.1748,124393
2018-05-30,13:30:00,12.1744,12.27,12.1065,12.2181,142222
2018-05-30,14:00:00,12.2113,12.228,12.1444,12.2182,118148
2018-05-30,14:30:00,12.2006,12.2103,11.6907,11.8977,195476
2018-05-30,15:00:00,11.8706,11.9411,11.69,11.8796,211876
2018-05-30,15:30:00,11.8998,11.95,11.7815,11.8026,183999
2018-05-30,16:00:00,11.7975,11.8594,11.7201,11.751,213647
2018-05-30,16:30:00,11.7381,11.8205,11.6206,11.8205,182730
2018-05-30,17:00:00,11.8277,11.9797,11.7802,11.882,149504
2018-05-30,17:30:00,11.8803,11.9294,11.7801,11.8084,142354
2018-05-30,18:00:00,11.8084,11.8499,11.7568,11.7712,126756
2018-05-30,18:30:00,11.7677,11.82,11.75,11.7827,119688
2018-05-30,19:00:00,11.7919,11.82,11.7639,11.8,154918
2018-05-30,19:30:00,11.8,12.17,11.7483,11.7713,146054
2018-05-30,20:00:00,11.7716,11.9023,11.7674,11.8789,145696
2018-05-30,20:30:00,11.8576,11.9026,11.83,11.8539,155325
2018-05-30,21:00:00,11.8465,11.9,11.78,11.8074,130279
2018-05-30,21:30:00,11.8074,11.8345,11.7901,11.8063,165482
2018-05-30,22:00:00,11.8063,11.8063,11.7311,11.765,184337
2018-05-30,22:30:00,11.7633,11.7857,11.73,11.7424,129666
2018-05-30,23:00:00,11.7424,12.147,11.64,11.9144,146020
2018-05-30,23:30:00,11.9099,12.0,11.8566,11.8968,109032
2018-05-31,00:00:00,11.8712,12.2,11.8116,12.1552,133699
2018-05-31,00:30:00,12.15,12.3046,12.0466,12.2701,176295
2018-05-31,01:00:00,12.2701,12.2712,12.09,12.1127,121410
2018-05-31,01:30:00,12.1127,12.1288,12.0,12.0316,156399
2018-05-31,02:00:00,12.0316,12.1207,12.0206,12.1011,114956
2018-05-31,02:30:00,12.0991,12.1096,12.0462,12.0997,113934
2018-05-31,03:00:00,12.1,12.2993,12.0997,12.1978,127445
2018-05-31,03:30:00,12.198,12.24,12.1251,12.1707,112613
2018-05-31,04:00:00,12.1526,12.2329,12.1526,12.1924,109284
2018-05-31,04:30:00,12.1978,12.35,12.1761,12.3179,118253
2018-05-31,05:00:00,12.3179,12.3746,12.2274,12.3315,152810
2018-05-31,05:30:00,12.3315,12.37,12.2116,12.2808,122517
2018-05-31,06:00:00,12.2978,12.4,12.27,12.3999,90898
